标的,阶段,交易序号,入场日期,出场日期,入场价格,出场价格,含费入场,含费出场,持有天数,盈亏%,胜败
上证50ETF,全程,1,2023-05-04,2023-05-05,2.674,2.699,2.674,2.695,1,0.783,盈
上证50ETF,全程,2,2023-05-22,2023-05-23,2.6359,2.663,2.6359,2.659,1,0.875,盈
上证50ETF,全程,3,2023-06-12,2023-06-13,2.5578,2.551,2.5578,2.5472,1,-0.417,亏
上证50ETF,全程,4,2023-07-03,2023-07-04,2.5518,2.58,2.5518,2.5761,1,0.953,盈
上证50ETF,全程,5,2023-07-05,2023-07-06,2.5839,2.562,2.5839,2.5582,1,-0.995,亏
上证50ETF,全程,6,2023-07-17,2023-07-18,2.6069,2.587,2.6069,2.5831,1,-0.912,亏
上证50ETF,全程,7,2023-07-31,2023-08-07,2.7501,2.711,2.7501,2.7069,7,-1.57,亏
上证50ETF,全程,8,2023-09-18,2023-09-19,2.5949,2.608,2.5949,2.6041,1,0.355,盈
上证50ETF,全程,9,2023-09-21,2023-09-22,2.5939,2.57,2.5939,2.5661,1,-1.069,亏
上证50ETF,全程,10,2023-10-30,2023-10-31,2.4887,2.487,2.4887,2.4833,1,-0.219,亏
上证50ETF,全程,11,2024-01-22,2024-02-05,2.2774,2.253,2.2774,2.2496,14,-1.22,亏
上证50ETF,全程,12,2024-02-19,2024-03-04,2.4016,2.444,2.4016,2.4403,14,1.613,盈
上证50ETF,全程,13,2024-04-01,2024-04-15,2.4587,2.406,2.4587,2.4024,14,-2.289,亏
上证50ETF,全程,14,2024-04-22,2024-05-27,2.4687,2.512,2.4687,2.5082,35,1.601,盈
上证50ETF,全程,15,2024-07-15,2024-07-29,2.4817,2.441,2.4817,2.4373,14,-1.788,亏
上证50ETF,全程,16,2024-08-19,2024-10-10,2.4377,2.786,2.4377,2.7818,52,14.119,盈
上证50ETF,全程,17,2024-11-11,2024-11-18,2.8603,2.789,2.8603,2.7848,7,-2.638,亏
上证50ETF,全程,18,2024-12-02,2024-12-12,2.682,2.728,2.682,2.7239,10,1.562,盈
上证50ETF,全程,19,2024-12-23,2024-12-24,2.7051,2.728,2.7051,2.7239,1,0.697,盈
上证50ETF,全程,20,2025-01-20,2025-01-21,2.654,2.652,2.654,2.648,1,-0.224,亏
上证50ETF,全程,21,2025-02-10,2025-02-11,2.672,2.683,2.672,2.679,1,0.261,盈
上证50ETF,全程,22,2025-04-14,2025-05-29,2.683,2.748,2.683,2.7439,45,2.268,盈
上证50ETF,全程,23,2025-05-30,2025-06-09,2.7571,2.758,2.7571,2.7539,10,-0.118,亏
上证50ETF,全程,24,2025-06-16,2025-06-30,2.7411,2.795,2.7411,2.7908,14,1.813,盈
上证50ETF,全程,25,2025-07-08,2025-08-04,2.8312,2.868,2.8312,2.8637,27,1.146,盈
上证50ETF,全程,26,2025-08-11,2025-09-08,2.9164,3.07,2.9164,3.0654,28,5.11,盈
上证50ETF,全程,27,2025-09-15,2025-10-13,3.1137,3.051,3.1137,3.0464,28,-2.16,亏
上证50ETF,全程,28,2025-10-20,2025-11-03,3.1257,3.153,3.1257,3.1483,14,0.723,盈
上证50ETF,全程,29,2025-12-01,2025-12-02,3.1217,3.137,3.1217,3.1323,1,0.34,盈
上证50ETF,全程,30,2025-12-29,2025-12-30,3.1247,3.1,3.1247,3.0954,1,-0.939,亏
