标的,阶段,交易序号,入场日期,出场日期,入场价格,出场价格,含费入场,含费出场,持有天数,盈亏%,胜败
创业板ETF,全程,1,2023-06-05,2023-06-06,2.1763,2.14,2.1763,2.1368,1,-1.814,亏
创业板ETF,全程,2,2023-06-19,2023-06-26,2.2143,2.14,2.2143,2.1368,7,-3.501,亏
创业板ETF,全程,3,2023-07-31,2023-08-14,2.1753,2.112,2.1753,2.1088,14,-3.054,亏
创业板ETF,全程,4,2023-08-15,2023-08-28,2.1152,2.136,2.1152,2.1328,13,0.833,盈
创业板ETF,全程,5,2023-11-06,2023-11-07,1.9329,1.974,1.9329,1.971,1,1.973,盈
创业板ETF,全程,6,2024-01-02,2024-01-03,1.8448,1.802,1.8448,1.7993,1,-2.465,亏
创业板ETF,全程,7,2024-02-19,2024-02-20,1.7066,1.688,1.7066,1.6855,1,-1.236,亏
创业板ETF,全程,8,2024-02-28,2024-02-29,1.7516,1.696,1.7516,1.6935,1,-3.321,亏
创业板ETF,全程,9,2024-03-18,2024-03-19,1.8528,1.87,1.8528,1.8672,1,0.778,盈
创业板ETF,全程,10,2024-04-08,2024-04-09,1.7877,1.759,1.7877,1.7564,1,-1.752,亏
创业板ETF,全程,11,2024-04-29,2024-04-30,1.7827,1.837,1.7827,1.8342,1,2.893,盈
创业板ETF,全程,12,2024-06-17,2024-06-18,1.7486,1.769,1.7486,1.7663,1,1.014,盈
创业板ETF,全程,13,2024-07-15,2024-07-24,1.6465,1.634,1.6465,1.6315,9,-0.906,亏
创业板ETF,全程,14,2024-07-26,2024-07-29,1.6194,1.622,1.6194,1.6196,3,0.009,盈
创业板ETF,全程,15,2024-09-02,2024-09-09,1.5493,1.5,1.5493,1.4978,7,-3.329,亏
创业板ETF,全程,16,2024-09-30,2024-10-10,2.003,2.241,2.003,2.2376,10,11.714,盈
创业板ETF,全程,17,2024-10-21,2024-10-29,2.1652,2.191,2.1652,2.1877,8,1.038,盈
创业板ETF,全程,18,2024-11-01,2024-11-04,2.1072,2.081,2.1072,2.0779,3,-1.389,亏
创业板ETF,全程,19,2024-11-05,2024-11-11,2.1472,2.25,2.1472,2.2466,6,4.63,盈
创业板ETF,全程,20,2024-12-02,2024-12-10,2.1753,2.32,2.1753,2.3165,8,6.494,盈
创业板ETF,全程,21,2024-12-12,2024-12-16,2.2203,2.19,2.2203,2.1867,4,-1.514,亏
创业板ETF,全程,22,2025-01-20,2025-02-05,2.0501,2.043,2.0501,2.0399,16,-0.494,亏
创业板ETF,全程,23,2025-02-10,2025-02-14,2.1432,2.134,2.1432,2.1308,4,-0.579,亏
创业板ETF,全程,24,2025-03-17,2025-03-18,2.1913,2.182,2.1913,2.1787,1,-0.573,亏
创业板ETF,全程,25,2025-05-06,2025-05-07,1.9389,1.995,1.9389,1.992,1,2.739,盈
创业板ETF,全程,26,2025-07-09,2025-07-15,2.1602,2.184,2.1602,2.1807,6,0.948,盈
创业板ETF,全程,27,2025-08-11,2025-08-15,2.3205,2.435,2.3205,2.4313,4,4.778,盈
创业板ETF,全程,28,2025-08-18,2025-08-27,2.5238,2.716,2.5238,2.7119,9,7.455,盈
创业板ETF,全程,29,2025-08-29,2025-09-03,2.8032,2.852,2.8032,2.8477,5,1.588,盈
创业板ETF,全程,30,2025-09-04,2025-09-05,2.9033,2.75,2.9033,2.7459,1,-5.424,亏
创业板ETF,全程,31,2025-11-10,2025-11-11,3.2048,3.175,3.2048,3.1702,1,-1.078,亏
创业板ETF,全程,32,2025-12-01,2025-12-19,3.0486,3.118,3.0486,3.1133,18,2.124,盈
创业板ETF,全程,33,2026-01-12,2026-01-13,3.319,3.372,3.319,3.3669,1,1.445,盈
创业板ETF,全程,34,2026-02-02,2026-02-09,3.343,3.288,3.343,3.2831,7,-1.793,亏
创业板ETF,全程,35,2026-03-16,2026-03-17,3.313,3.369,3.313,3.3639,1,1.539,盈
创业板ETF,全程,36,2026-03-26,2026-03-30,3.311,3.242,3.311,3.2371,4,-2.23,亏
创业板ETF,全程,37,2026-04-13,2026-04-15,3.4351,3.511,3.4351,3.5057,2,2.055,盈（持仓中）
