标的,阶段,交易序号,入场日期,出场日期,入场价格,出场价格,含费入场,含费出场,持有天数,盈亏%,胜败
沪深300ETF,全程,1,2023-05-22,2023-05-23,3.9489,3.967,3.9489,3.961,1,0.307,盈
沪深300ETF,全程,2,2023-06-05,2023-06-06,3.8628,3.846,3.8628,3.8402,1,-0.584,亏
沪深300ETF,全程,3,2023-07-03,2023-07-04,3.8958,3.925,3.8958,3.9191,1,0.597,盈
沪深300ETF,全程,4,2023-07-05,2023-07-06,3.9339,3.9,3.9339,3.8942,1,-1.01,亏
沪深300ETF,全程,5,2023-07-17,2023-07-18,3.9519,3.925,3.9519,3.9191,1,-0.83,亏
沪深300ETF,全程,6,2023-07-31,2023-08-01,4.1061,4.08,4.1061,4.0739,1,-0.786,亏
沪深300ETF,全程,7,2023-10-09,2023-10-10,3.7626,3.766,3.7626,3.7604,1,-0.061,亏
沪深300ETF,全程,8,2023-10-30,2023-10-31,3.6274,3.645,3.6274,3.6395,1,0.334,盈
沪深300ETF,全程,9,2024-01-02,2024-01-03,3.5073,3.446,3.5073,3.4408,1,-1.894,亏
沪深300ETF,全程,10,2024-01-29,2024-01-30,3.336,3.281,3.336,3.2761,1,-1.796,亏
沪深300ETF,全程,11,2024-02-19,2024-02-20,3.3791,3.383,3.3791,3.3779,1,-0.034,亏
沪深300ETF,全程,12,2024-04-22,2024-04-23,3.5353,3.524,3.5353,3.5187,1,-0.469,亏
沪深300ETF,全程,13,2024-07-15,2024-07-16,3.5163,3.52,3.5163,3.5147,1,-0.044,亏
沪深300ETF,全程,14,2024-08-19,2024-08-20,3.4141,3.424,3.4141,3.4189,1,0.139,盈
沪深300ETF,全程,15,2024-09-25,2024-10-10,3.4942,4.07,3.4942,4.0639,15,16.303,盈
沪深300ETF,全程,16,2024-10-21,2024-10-22,4.023,4.002,4.023,3.996,1,-0.672,亏
沪深300ETF,全程,17,2024-11-11,2024-11-12,4.1582,4.21,4.1582,4.2037,1,1.093,盈
沪深300ETF,全程,18,2024-12-09,2024-12-10,4.0601,4.179,4.0601,4.1727,1,2.775,盈
沪深300ETF,全程,19,2024-12-23,2024-12-24,4.023,4.024,4.023,4.018,1,-0.126,亏
沪深300ETF,全程,20,2025-01-20,2025-01-21,3.9269,3.937,3.9269,3.9311,1,0.107,盈
沪深300ETF,全程,21,2025-04-14,2025-04-30,3.8648,3.87,3.8648,3.8642,16,-0.015,亏
沪深300ETF,全程,22,2025-05-12,2025-05-29,3.9689,3.945,3.9689,3.9391,17,-0.752,亏
沪深300ETF,全程,23,2025-05-30,2025-06-09,3.9649,3.989,3.9649,3.983,10,0.456,盈
沪深300ETF,全程,24,2025-06-30,2025-07-01,3.9669,3.98,3.9669,3.974,1,0.179,盈
沪深300ETF,全程,25,2025-07-15,2025-07-16,4.0881,4.079,4.0881,4.0729,1,-0.373,亏
沪深300ETF,全程,26,2025-08-11,2025-08-12,4.1893,4.2,4.1893,4.1937,1,0.106,盈
沪深300ETF,全程,27,2025-09-15,2025-09-16,4.6289,4.632,4.6289,4.6251,1,-0.084,亏
沪深300ETF,全程,28,2025-09-29,2025-09-30,4.655,4.734,4.655,4.7269,1,1.545,盈
沪深300ETF,全程,29,2025-11-10,2025-11-11,4.8042,4.814,4.8042,4.8068,1,0.054,盈
沪深300ETF,全程,30,2025-12-01,2025-12-02,4.653,4.686,4.653,4.679,1,0.559,盈
沪深300ETF,全程,31,2025-12-22,2025-12-23,4.7091,4.735,4.7091,4.7279,1,0.4,盈
沪深300ETF,全程,32,2026-04-13,2026-04-14,4.6359,4.679,4.6359,4.672,1,0.777,盈
