标的,阶段,交易序号,入场日期,出场日期,入场价格,出场价格,含费入场,含费出场,持有天数,盈亏%,胜败
深证100ETF,全程,1,2023-06-05,2023-06-06,2.8242,2.798,2.8242,2.7938,1,-1.077,亏
深证100ETF,全程,2,2023-07-17,2023-07-18,2.8893,2.877,2.8893,2.8727,1,-0.576,亏
深证100ETF,全程,3,2023-07-27,2023-08-14,2.8853,2.84,2.8853,2.8357,18,-1.718,亏
深证100ETF,全程,4,2023-10-30,2023-10-31,2.5358,2.58,2.5358,2.5761,1,1.591,盈
深证100ETF,全程,5,2024-01-02,2024-01-03,2.4487,2.395,2.4487,2.3914,1,-2.338,亏
深证100ETF,全程,6,2024-02-19,2024-03-11,2.3355,2.434,2.3355,2.4303,21,4.061,盈
深证100ETF,全程,7,2024-03-18,2024-03-25,2.5048,2.471,2.5048,2.4673,7,-1.495,亏
深证100ETF,全程,8,2024-04-08,2024-04-15,2.4857,2.397,2.4857,2.3934,7,-3.714,亏
深证100ETF,全程,9,2024-04-22,2024-05-06,2.4266,2.543,2.4266,2.5392,14,4.638,盈
深证100ETF,全程,10,2024-06-17,2024-06-18,2.4437,2.453,2.4437,2.4493,1,0.232,盈
深证100ETF,全程,11,2024-07-15,2024-07-16,2.3675,2.357,2.3675,2.3535,1,-0.595,亏
深证100ETF,全程,12,2024-09-02,2024-09-09,2.2604,2.194,2.2604,2.1907,7,-3.083,亏
深证100ETF,全程,13,2024-09-23,2024-10-10,2.1913,2.872,2.1913,2.8677,17,30.868,盈
深证100ETF,全程,14,2024-10-21,2024-10-22,2.8102,2.799,2.8102,2.7948,1,-0.548,亏
深证100ETF,全程,15,2024-12-09,2024-12-10,2.8372,2.935,2.8372,2.9306,1,3.29,盈
深证100ETF,全程,16,2025-01-20,2025-01-21,2.7131,2.74,2.7131,2.7359,1,0.841,盈
深证100ETF,全程,17,2025-03-10,2025-03-11,2.8092,2.77,2.8092,2.7658,1,-1.544,亏
深证100ETF,全程,18,2025-05-06,2025-05-26,2.6069,2.688,2.6069,2.684,20,2.956,盈
深证100ETF,全程,19,2025-06-30,2025-07-01,2.7251,2.736,2.7251,2.7319,1,0.25,盈
深证100ETF,全程,20,2025-07-15,2025-08-04,2.8092,2.861,2.8092,2.8567,20,1.691,盈
深证100ETF,全程,21,2025-08-11,2025-09-08,2.8993,3.363,2.8993,3.358,28,15.818,盈
深证100ETF,全程,22,2025-09-15,2025-09-16,3.4211,3.468,3.4211,3.4628,1,1.218,盈
深证100ETF,全程,23,2025-11-10,2025-11-11,3.5754,3.585,3.5754,3.5796,1,0.119,盈
深证100ETF,全程,24,2025-12-01,2025-12-02,3.3851,3.421,3.3851,3.4159,1,0.91,盈
深证100ETF,全程,25,2026-01-12,2026-01-13,3.5343,3.552,3.5343,3.5467,1,0.35,盈
深证100ETF,全程,26,2026-03-16,2026-03-17,3.5283,3.556,3.5283,3.5507,1,0.634,盈
深证100ETF,全程,27,2026-04-13,2026-04-14,3.6174,3.672,3.6174,3.6665,1,1.357,盈
