标的,阶段,交易序号,入场日期,出场日期,入场价格,出场价格,含费入场,含费出场,持有天数,盈亏%,胜败
科创50ETF,全程,1,2023-05-22,2023-05-23,1.0666,1.052,1.0666,1.0504,1,-1.517,亏
科创50ETF,全程,2,2023-06-19,2023-06-20,1.0746,1.074,1.0746,1.0724,1,-0.207,亏
科创50ETF,全程,3,2023-07-31,2023-08-01,0.9885,0.993,0.9885,0.9915,1,0.307,盈
科创50ETF,全程,4,2023-09-04,2023-09-05,0.9634,0.963,0.9634,0.9616,1,-0.196,亏
科创50ETF,全程,5,2023-09-25,2023-09-26,0.9024,0.895,0.9024,0.8937,1,-0.963,亏
科创50ETF,全程,6,2023-12-04,2023-12-05,0.8913,0.881,0.8913,0.8797,1,-1.308,亏
科创50ETF,全程,7,2024-01-02,2024-01-03,0.8733,0.86,0.8733,0.8587,1,-1.672,亏
科创50ETF,全程,8,2024-02-19,2024-03-11,0.7812,0.817,0.7812,0.8158,21,4.43,盈
科创50ETF,全程,9,2024-04-29,2024-05-06,0.7772,0.799,0.7772,0.7978,7,2.655,盈
科创50ETF,全程,10,2024-06-24,2024-06-25,0.7732,0.755,0.7732,0.7539,1,-2.495,亏
科创50ETF,全程,11,2024-07-15,2024-07-18,0.7351,0.742,0.7351,0.7409,3,0.787,盈
科创50ETF,全程,12,2024-07-19,2024-07-24,0.7501,0.739,0.7501,0.7379,5,-1.631,亏
科创50ETF,全程,13,2024-08-19,2024-08-26,0.7251,0.704,0.7251,0.7029,7,-3.054,亏
科创50ETF,全程,14,2024-09-30,2024-10-10,0.8142,1.028,0.8142,1.0265,10,26.066,盈
科创50ETF,全程,15,2024-10-21,2024-10-28,1.0215,1.017,1.0215,1.0155,7,-0.593,亏
科创50ETF,全程,16,2024-11-11,2024-11-15,1.0536,1.047,1.0536,1.0454,4,-0.773,亏
科创50ETF,全程,17,2024-12-02,2024-12-11,1.0335,1.034,1.0335,1.0324,9,-0.106,亏
科创50ETF,全程,18,2024-12-23,2024-12-24,1.0366,1.026,1.0366,1.0245,1,-1.167,亏
科创50ETF,全程,19,2025-01-13,2025-01-14,0.9624,0.98,0.9624,0.9785,1,1.672,盈
科创50ETF,全程,20,2025-02-10,2025-03-03,1.0466,1.104,1.0466,1.1023,21,5.329,盈
科创50ETF,全程,21,2025-03-10,2025-03-17,1.1327,1.12,1.1327,1.1183,7,-1.269,亏
科创50ETF,全程,22,2025-04-14,2025-04-15,1.0466,1.036,1.0466,1.0344,1,-1.158,亏
科创50ETF,全程,23,2025-05-06,2025-05-07,1.0416,1.066,1.0416,1.0644,1,2.193,盈
科创50ETF,全程,24,2025-06-09,2025-06-10,1.0215,1.028,1.0215,1.0265,1,0.482,盈
科创50ETF,全程,25,2025-06-30,2025-07-01,1.0175,1.028,1.0175,1.0265,1,0.878,盈
科创50ETF,全程,26,2025-07-14,2025-07-15,1.0235,1.018,1.0235,1.0165,1,-0.69,亏
科创50ETF,全程,27,2025-08-11,2025-08-12,1.0716,1.075,1.0716,1.0734,1,0.166,盈
科创50ETF,全程,28,2025-08-21,2025-08-28,1.1818,1.308,1.1818,1.306,7,10.515,盈
科创50ETF,全程,29,2025-08-29,2025-09-05,1.3781,1.252,1.3781,1.2501,7,-9.284,亏
科创50ETF,全程,30,2025-09-15,2025-09-19,1.3981,1.423,1.3981,1.4209,4,1.629,盈
科创50ETF,全程,31,2025-09-23,2025-10-13,1.4482,1.441,1.4482,1.4388,20,-0.644,亏
科创50ETF,全程,32,2025-10-27,2025-10-28,1.5153,1.5,1.5153,1.4978,1,-1.156,亏
科创50ETF,全程,33,2025-11-10,2025-11-11,1.4472,1.439,1.4472,1.4368,1,-0.714,亏
科创50ETF,全程,34,2025-12-01,2025-12-02,1.353,1.355,1.353,1.353,1,-0.004,亏
科创50ETF,全程,35,2025-12-29,2025-12-30,1.3751,1.371,1.3751,1.3689,1,-0.445,亏
科创50ETF,全程,36,2026-01-12,2026-01-23,1.5183,1.566,1.5183,1.5637,11,2.989,盈
科创50ETF,全程,37,2026-03-05,2026-03-09,1.4482,1.412,1.4482,1.4099,4,-2.644,亏
科创50ETF,全程,38,2026-03-30,2026-04-07,1.305,1.288,1.305,1.2861,8,-1.447,亏
科创50ETF,全程,39,2026-04-13,2026-04-15,1.3861,1.437,1.3861,1.4348,2,3.518,盈（持仓中）
